name,substitute
beef,seitan
steak,portabello mushrooms
liver,tofu
tripe,tofu
pork,tempeh
ham,tempeh
ribs,tempeh
bacon,veggie bacon
sausage,tofu
veal,seitan
lamb,seitan
chicken,eggplant
breast,eggplant
wing,eggplant
thigh,eggplant
leg,eggplant
bison,seitan
buffalo,seitan
venison,seitan
guineafowl,eggplant
carp,mashed chickpeas or sea vegetables
catfish,mashed chickpeas or sea vegetables
salmon,mashed chickpeas or sea vegetables
tilapia,mashed chickpeas or sea vegetables
trout,mashed chickpeas or sea vegetables
crayfish,mashed chickpeas or sea vegetables
lobster,mashed chickpeas or sea vegetables
shrimp,mashed chickpeas or sea vegetables
prawns,mashed chickpeas or sea vegetables
oyster,mashed chickpeas or sea vegetables
mussel,mashed chickpeas or sea vegetables
snail,beans
goat,tofu
alligator,tofu
frog,beans
turtle,beans
turkey,eggplant
caribou,seitan
sheep,tempeh
quail,eggplant
rabbit,beans
moose,seitan
deer,seitan
reindeer,seitan
boar,tempeh
pheasant,eggplant
goose,eggplant
egg,substitute